Codice1;Codice2;Colore;Collezione;Materiale
10CI;10CI;SASSO;COLORADO 2;PELLE
10CL;10CL;CORDA;COLORADO 2;PELLE
10CM;10CM;SABBIA;COLORADO 2;PELLE
10CN;10CN;CHESTNUT;CLAYTON;PELLE
10CO;10CO;BAROLO;CLAYTON;PELLE
10CP;10CP;BLU NAVY;CLAYTON;PELLE
10D1;10D1;MARRONE SC.CALDO;PASADENA;PELLE
10D2;10D2;BIANCO;PASADENA;PELLE
10D3;10D3;GRIGIO;PASADENA;PELLE
10D4;10D4;CANNA DI FUCILE;PASADENA;PELLE
10D5;10D5;NERO;PASADENA;PELLE
10D6;10D6;CUOIO CH.MX GIALL.;PASADENA;PELLE
10D8;10D8;CUOIO SC.MX ARANC.;PASADENA;PELLE
10DA;10DA;LIGHT,TAN ORANG.MX;MITCHELL;PELLE
10DA;10DA;FC_BEIGE;SAVANA;PELLE
10DA;10DA;GIAL.PA.;SAVANA;PELLE
10DB;10DB;WARM DARK BROWN;MITCHELL;PELLE
10DC;10DC;BIANCO AURORA;SAVANA;PELLE
10DC;10DC;FC_IVORY;SAVANA;PELLE
10DD;10DD;BORDEAUX;SAVANA;PELLE
10DE;10DE;FC_YELLOW;SAVANA;PELLE
10DE;10DE;GIALLO;SAVANA;PELLE
10DF;10DF;CREMA;SAVANA;PELLE
10DF;10DF;FC_BEIGE;SAVANA;PELLE
10DG;10DG;TORTORA;SAVANA;PELLE
10DI;10DI;ROSSO2;SAVANA;PELLE
10DL;10DL;FC_GREEN;SAVANA;PELLE
10DL;10DL;VERDE CHIARO;SAVANA;PELLE
10DN;10DN;BLUE JEANS;SAVANA;PELLE
10DN;10DN;FC_BLUE;SAVANA;PELLE
10DP;10DP;ROSSO;SAVANA;PELLE
10DQ;10DQ;SALVIA;SAVANA;PELLE
10DS;10DS;MARRONE;SAVANA;PELLE
10DT;10DT;LILLA;SAVANA;PELLE
10DU;10DU;FC_GREEN;SAVANA;PELLE
10DU;10DU;VERDE SALICE;SAVANA;PELLE
10EA;10EA;BIANCO;LANCASTER;PELLE
10EB;10EB;AVORIO;LANCASTER;PELLE
10EB;10EB;FC_BEIGE;LANCASTER;PELLE
10EC;10EC;BEIGE 2;LANCASTER;PELLE
10EC;10EC;FC_BEIGE;LANCASTER;PELLE
10ED;10ED;GIALLO;LANCASTER;PELLE
10EE;10EE;CORALLO;LANCASTER;PELLE
10EF;10EF;BLU;LANCASTER;PELLE
10EF;10EF;FC_BLUE;LANCASTER;PELLE
10EG;10EG;NERO;LANCASTER;PELLE
10EH;10EH;BIANCO OTTICO;LANCASTER;PELLE
10EI;10EI;ARANCIO;LANCASTER;PELLE
10EK;10EK;ROSSO CORALLO;LANCASTER;PELLE
10EL;10EL;BIANCO CREMA;LANCASTER;PELLE
10EM;10EM;BEIGE ROSATO;LANCASTER;PELLE
10EN;10EN;BIANCO AURORA;LANCASTER;PELLE
10EP;10EP;BEIGE GRIGIATO;LANCASTER;PELLE
10EP;10EP;BEIGE GRIGIATO IK;LANCASTER;PELLE
10EQ;10EQ;GIALLO CHIARO;LANCASTER;PELLE
10ER;10ER;ROSSO 2;LANCASTER;PELLE
10ES;10ES;MARRONE SCURO;LANCASTER;PELLE
10ET;10ET;ANTRACITE;LANCASTER;PELLE
10ET;10ET;ANTRACITE IK;LANCASTER;PELLE
10EU;10EU;CUOIO;LANCASTER;PELLE
10EU;10EU;CUOIO IK;LANCASTER;PELLE
10EU;10EU;FC_TAN;LANCASTER;PELLE
10EV;10EV;BIANCO AVORIO;LANCASTER;PELLE
10EV;10EV;BIANCO AVORIO IK;LANCASTER;PELLE
10EW;10EW;LAVANDA;LANCASTER;PELLE
10EZ;10EZ;GIALLO OCRA;LANCASTER;PELLE
10FA;10FA;BORDEAUX;IMOLA;PELLE
10FA;10FA;FC_BURGUNDY;IMOLA;PELLE
10FB;10FB;PALOMINO;IMOLA;PELLE
10FC;10FC;FC_RED;IMOLA;PELLE
10FC;10FC;ROSSO;IMOLA;PELLE
10FD;10FD;FC_BROWN;IMOLA;PELLE
