Codice1;Codice2;Colore;Collezione;Materiale
78016305;78016305;ZENZERO;Mediterraneo;TESSUTO
78016306;78016306;MELAGRANA;Mediterraneo;TESSUTO
78016307;78016307;MARRONE BRUCIATO;Mediterraneo;TESSUTO
78016308;78016308;VINACCIA;Mediterraneo;TESSUTO
78016309;78016309;OTTANIO;Mediterraneo;TESSUTO
78016310;78016310;GRIGIO FERRO;Mediterraneo;TESSUTO
78016311;78016311;MIRTILLO;Mediterraneo;TESSUTO
78016312;78016312;BLU NOTTE;Mediterraneo;TESSUTO
78016401;78016401;FANGO;ROME;MICROFIBRA
78016402;78016402;BEIGE;ROME;MICROFIBRA
78016403;78016403;CIOCCOLATO;ROME;MICROFIBRA
78016404;78016404;BORDEAUX;ROME;MICROFIBRA
78016405;78016405;BRUCIATO CHIARO;ROME;MICROFIBRA
78016406;78016406;AVORIO;ROME;MICROFIBRA
78016407;78016407;BLU;ROME;MICROFIBRA
78016501;78016501;GRIGIO CHIARO;AMERIGO;TESSUTO
78016502;78016502;GRIGIO SCURO;AMERIGO;TESSUTO
78016503;78016503;OTTANIO;AMERIGO;TESSUTO
78016504;78016504;BLU;AMERIGO;TESSUTO
78016505;78016505;GRIGIO CALDO;AMERIGO;TESSUTO
78016506;78016506;MELANZANA;AMERIGO;TESSUTO
78016601;78016601;BIANCO;FELICITAS;TESSUTO
78016602;78016602;CORDA;FELICITAS;TESSUTO
78016603;78016603;TORTORA;FELICITAS;TESSUTO
78016604;78016604;MARRONE;FELICITAS;TESSUTO
78016605;78016605;GIALLO SENAPE;FELICITAS;TESSUTO
78016606;78016606;AVENA;FELICITAS;TESSUTO
78016607;78016607;BLU;FELICITAS;TESSUTO
78016608;78016608;ROSSO;FELICITAS;TESSUTO
78016701;78016701;BIANCO OTTICO;SPINATO;TESSUTO
78016702;78016702;CORDA;SPINATO;TESSUTO
78016703;78016703;BROWN;SPINATO;TESSUTO
78016704;78016704;BLU;SPINATO;TESSUTO
78016801;78016801;BIANCO;ORDITO;TESSUTO
78016802;78016802;ECRU';ORDITO;TESSUTO
78016803;78016803;BEIGE CALDO;ORDITO;TESSUTO
78016901;78016901;BIANCO;NASTRO;TESSUTO
78016902;78016902;BEIGE;NASTRO;TESSUTO
78016903;78016903;BEIGE CALDO;NASTRO;TESSUTO
78017001;78017001;BIANCO;TRECCIA;TESSUTO
78017002;78017002;CORDA;TRECCIA;TESSUTO
78017003;78017003;BROWN;TRECCIA;TESSUTO
78017004;78017004;BLU;TRECCIA;TESSUTO
78017101;78017101;BLACK-WHITE;BASCO;TESSUTO
78017102;78017102;BEIGE;BASCO;TESSUTO
78017103;78017103;TAUPE;BASCO;TESSUTO
78017104;78017104;BRONZE;BASCO;TESSUTO
78017201;78017201;BEIGE;SALINA;MICROFIBRA
78017202;78017202;TORTORA CHIARO;SALINA;MICROFIBRA
78017203;78017203;GRIGIO ACCIAIO;SALINA;MICROFIBRA
78017204;78017204;TORTORA;SALINA;MICROFIBRA
78017205;78017205;ROSSO;SALINA;MICROFIBRA
78017206;78017206;CIOCCOLATO;SALINA;MICROFIBRA
78017301;78017301;ALLUMINIO;PERSEO;TESSUTO
78017302;78017302;GIALLO;PERSEO;TESSUTO
78017303;78017303;ARANCIO;PERSEO;TESSUTO
78017304;78017304;BLU NOTTE;PERSEO;TESSUTO
78017305;78017305;VIOLA;PERSEO;TESSUTO
78017306;78017306;MARRONE PROFONDO;PERSEO;TESSUTO
78017307;78017307;GRE SC MX VER;PERSEO;TESSUTO
78017401;78017401;RAME;RE-SALT;MICROFIBRA
78017402;78017402;VERDE OLIVA;RE-SALT;MICROFIBRA
78017403;78017403;AZZURRO MARE;RE-SALT;MICROFIBRA
78017404;78017404;LAVA;RE-SALT;MICROFIBRA
78017405;78017405;BEIGE;RE-SALT;MICROFIBRA
78017406;78017406;TORTORA CHIARO;RE-SALT;MICROFIBRA
78017407;78017407;GRIGIO ACCIAIO;RE-SALT;MICROFIBRA
78017408;78017408;TORTORA;RE-SALT;MICROFIBRA
78017409;78017409;ROSSO;RE-SALT;MICROFIBRA
78017410;78017410;CIOCCOLATO;RE-SALT;MICROFIBRA
78017501;78017501;BEIGE CH MX RS;BILANCIA;TESSUTO
78017502;78017502;GRIGIO CH FRED;BILANCIA;TESSUTO
78017503;78017503;TAUPE CALDO;BILANCIA;TESSUTO
78017504;78017504;BLUE JEANS;BILANCIA;TESSUTO
78017505;78017505;GRIGIO SC FRED;BILANCIA;TESSUTO
78017601;78017601;GRE CH MX BRO;GHIBLI;TESSUTO
78017602;78017602;GIALLO;GHIBLI;TESSUTO
78017603;78017603;VERDE MUSCHIO;GHIBLI;TESSUTO
78017604;78017604;GRIGIO MEDIO;GHIBLI;TESSUTO
78017605;78017605;ROSA MEDIO;GHIBLI;TESSUTO
78017606;78017606;ROSSO MX MATTONE;GHIBLI;TESSUTO
78017607;78017607;ROSSO;GHIBLI;TESSUTO
78017608;78017608;GRIG MX BLU;GHIBLI;TESSUTO
78017609;78017609;BLUE JEANS;GHIBLI;TESSUTO
78017610;78017610;BLUE SCURO;GHIBLI;TESSUTO
78017611;78017611;BEIGE CH.MX ROSA;GHIBLI;TESSUTO
78017612;78017612;BEIGE SCU.MX ROSA;GHIBLI;TESSUTO
78017613;78017613;GRIGIO SCURO;GHIBLI;TESSUTO
78017701;78017701;GRI.SCU.CALDO;MERLINO;TESSUTO
78017801;78017801;BEIGE CH.MX ROSA;TRAMONTANA;TESSUTO
78017802;78017802;GREIGE CH.MX BRONZ;TRAMONTANA;TESSUTO
78017803;78017803;VERDE MUSCHIO;TRAMONTANA;TESSUTO
78017804;78017804;TURCHESE;TRAMONTANA;TESSUTO
78017805;78017805;ARANCIO;TRAMONTANA;TESSUTO
78017806;78017806;CELESTE MX GRIG.;TRAMONTANA;TESSUTO
78017807;78017807;GREIGE CH.MX GRI.;TRAMONTANA;TESSUTO
78017901;78017901;BIANCO FREDDO;CUPIDO;TESSUTO
78017902;78017902;VERDE MUSCHIO;CUPIDO;TESSUTO
78017903;78017903;BLU OTTANIO;CUPIDO;TESSUTO
78017904;78017904;ARANCIO MX MATTONE;CUPIDO;TESSUTO
78017905;78017905;BORDEAUX;CUPIDO;TESSUTO
78017906;78017906;BLU SCURO;CUPIDO;TESSUTO
78017907;78017907;MARRONE SC. FREDDO;CUPIDO;TESSUTO
78017908;78017908;GREIGE SC.MX GRIG.;CUPIDO;TESSUTO
78018001;78018001;BEIGE CH.MX GIALLA;AFRODITE;TESSUTO
78018002;78018002;VERDE MX GRIGIA;AFRODITE;TESSUTO
78018003;78018003;GRIGIO MEDIO;AFRODITE;TESSUTO
78018004;78018004;ROSA MEDIO;AFRODITE;TESSUTO
78018005;78018005;VERDE C.MX CELESTE;AFRODITE;TESSUTO
78018006;78018006;CUOIO C.MX ARANCIO;AFRODITE;TESSUTO
78018007;78018007;CELESTE;AFRODITE;TESSUTO
78018008;78018008;GREIGE S.MX GRIGIA;AFRODITE;TESSUTO
78018009;78018009;BLU JEANS;AFRODITE;TESSUTO
78018010;78018010;GRIGIO CH. CALDO;AFRODITE;TESSUTO
78018011;78018011;GREIGE MX GRIGIA;AFRODITE;TESSUTO
78018012;78018012;BEIGE SC.MX GIALLA;AFRODITE;TESSUTO
78018101;78018101;BIANCO CALDO;SFINGE;TESSUTO
78018102;78018102;YELLOWISH LIGHT BE;SFINGE;TESSUTO
78018103;78018103;GREIGE.SC MX ROSA;SFINGE;TESSUTO
78018104;78018104;ROSY DARK GREIGE;SFINGE;TESSUTO
78018105;78018105;ARANCIO MX MATTONE;SFINGE;TESSUTO
78018106;78018106;GREIGE CHIARO;SFINGE;TESSUTO
78018107;78018107;GRIGIO CH. FREDDO;SFINGE;TESSUTO
78018108;78018108;GRIGIO SC. FREDDO;SFINGE;TESSUTO
78018109;78018109;BLUE JEANS;SFINGE;TESSUTO
78018110;78018110;VERDE MUSCHIO;SFINGE;TESSUTO
78018301;78018301;GRIGIO CH.CALDO;SATURNO;TESSUTO
78018401;78018401;LILLA MX GRIGIA;TERME;TESSUTO
78018402;78018402;ROSA MEDIO;TERME;TESSUTO
78018403;78018403;TURCHESE;TERME;TESSUTO
78018404;78018404;VERDE MUSCHIO;TERME;TESSUTO
78018405;78018405;ARANCIO;TERME;TESSUTO
78018406;78018406;GIALLO MX OCRA;TERME;TESSUTO
78018407;78018407;GREIGE CH. MX ROSA;TERME;TESSUTO
78018408;78018408;GRIGIO CH. CALDO;TERME;TESSUTO
78018501;78018501;VERDE MX LIME;MARTE;TESSUTO
78018502;78018502;TURCHESE;MARTE;TESSUTO
78018503;78018503;LILLA MX GRIGIA;MARTE;TESSUTO
78018504;78018504;ARANCIO;MARTE;TESSUTO
78018505;78018505;GRIGIO CH.CALDO;MARTE;TESSUTO
78018506;78018506;BEIGE MEL. GRIGIO;MARTE;TESSUTO
78018507;78018507;BLU SCURO;MARTE;TESSUTO
78018601;78018601;BIANCO OTTICO;CHARANGO;TESSUTO
78018602;78018602;BIANCO CALDO;CHARANGO;TESSUTO
78018603;78018603;GIALLO MX OCRA;CHARANGO;TESSUTO
78018604;78018604;GREIGE SC.MX VERDE;CHARANGO;TESSUTO
78018605;78018605;GRIGIO CH. CALDO;CHARANGO;TESSUTO
78018606;78018606;BIANCO FREDDO;CHARANGO;TESSUTO
78018801;78018801;BIANCO CALDO;REMO;TESSUTO
78018802;78018802;VERDE MUSCHIO;REMO;TESSUTO
78018803;78018803;GREIGE CHIARO;REMO;TESSUTO
78018804;78018804;BEIGE CH.MX ROSA;REMO;TESSUTO
78018805;78018805;CUIO CH.MX ARANCIO;REMO;TESSUTO
78018901;78018901;BIANCO OTTICO;JUPITER;TESSUTO
78018902;78018902;BEIGE CH.MX ROSA;JUPITER;TESSUTO
78018903;78018903;GREIGE CHIARO;JUPITER;TESSUTO
78018904;78018904;MARRONE;JUPITER;TESSUTO
78018905;78018905;GREIGE C.MX BRONZO;JUPITER;TESSUTO
78018906;78018906;GRIGIO CH.MX CALDA;JUPITER;TESSUTO
78019001;78019001;BIANCO CALDO;AVENTINO;TESSUTO
78019002;78019002;BIANCO FREDDO;AVENTINO;TESSUTO
78019003;78019003;GRIGIO MEDIO;AVENTINO;TESSUTO
78019004;78019004;GREIGE S.MX GRIGIA;AVENTINO;TESSUTO
78019101;78019101;BIANCO CALDO;CHEOPE;TESSUTO
78019102;78019102;BEIGE CH.MX.ROSA;CHEOPE;TESSUTO
78019103;78019103;GREIGE CH.MX.ROSA;CHEOPE;TESSUTO
78019104;78019104;GREIGE SC.M.BRONZO;CHEOPE;TESSUTO
78019105;78019105;GREIGE CHIARO;CHEOPE;TESSUTO
78019106;78019106;GRIGIO CH. CALDO;CHEOPE;TESSUTO
78019107;78019107;GRIGIO MEDIO;CHEOPE;TESSUTO
78019108;78019108;BLU JEANS;CHEOPE;TESSUTO
78019109;78019109;VERDE MUSCHIO;CHEOPE;TESSUTO
78032802;78032802;FC_BROWN;ELORA (old);MICROFIBRA
78032804;78032804;FC_NATURAL;ELORA (old);MICROFIBRA
78205101;78205101;NATURALE;FLORENCE;MICROFIBRA
78205102;78205102;SABBIA;FLORENCE;MICROFIBRA
78205103;78205103;VERDE PALLIDO;FLORENCE;MICROFIBRA
78205104;78205104;TORTORA;FLORENCE;MICROFIBRA
78205106;78205106;BLUE JEANS;FLORENCE;MICROFIBRA
78205107;78205107;NOCE;FLORENCE;MICROFIBRA
78205108;78205108;TABACCO;FLORENCE;MICROFIBRA
78205110;78205110;ROSSO VINO;FLORENCE;MICROFIBRA
78205111;78205111;VERDE FORESTA;FLORENCE;MICROFIBRA
78205112;78205112;BLU DI PRUSSIA;FLORENCE;MICROFIBRA
78205113;78205113;PRUGNA;FLORENCE;MICROFIBRA
78205114;78205114;GRIGIO SCURO;FLORENCE;MICROFIBRA
78205115;78205115;NERO;FLORENCE;MICROFIBRA
78205116;78205116;GRIGIO ACCIAIO;FLORENCE;MICROFIBRA
78205117;78205117;MIMOSA;FLORENCE;MICROFIBRA
78205118;78205118;BORDEAU;FLORENCE;MICROFIBRA
78205119;78205119;ESPRESS;FLORENCE;MICROFIBRA
78205120;78205120;MASTICE;FLORENCE;MICROFIBRA
78205121;78205121;CAMOSCIO;FLORENCE;MICROFIBRA
78205122;78205122;MUSCHIO;FLORENCE;MICROFIBRA
78205123;78205123;MELANZANA;FLORENCE;MICROFIBRA
78205124;78205124;VERDE SCURO;FLORENCE;MICROFIBRA
78205125;78205125;BLU NOTTE;FLORENCE;MICROFIBRA
78205126;78205126;MARRONE SCURO;FLORENCE;MICROFIBRA
78205127;78205127;LSADDL;FLORENCE;MICROFIBRA
78205128;78205128;CAMMELLO;FLORENCE;MICROFIBRA
78205129;78205129;VERDE OLIVA SCURO;FLORENCE;MICROFIBRA
78205132;78205132;FUNGO;FLORENCE;MICROFIBRA
78205134;78205134;CELESTE;FLORENCE;MICROFIBRA
78205135;78205135;ARACHIDE;FLORENCE;MICROFIBRA
78205136;78205136;TERRACOTTA;FLORENCE;MICROFIBRA
78205138;78205138;VERDE SALVIA;FLORENCE;MICROFIBRA
78205139;78205139;AVORIO;FLORENCE;MICROFIBRA
78205140;78205140;INDACO;FLORENCE;MICROFIBRA
78205141;78205141;VERDE MENTA;FLORENCE;MICROFIBRA
78205142;78205142;VERDE CHIARO;FLORENCE;MICROFIBRA
78205143;78205143;VERDE ACQUA;FLORENCE;MICROFIBRA
78205144;78205144;GRIGIO SCURO;FLORENCE;MICROFIBRA
78205145;78205145;SENAPE;FLORENCE;MICROFIBRA
78205146;78205146;LILLA;FLORENCE;MICROFIBRA
78205148;78205148;VERDE SCURO;FLORENCE;MICROFIBRA
78205149;78205149;ANTRACITE;FLORENCE;MICROFIBRA
78205150;78205150;GIALLO DORATO;FLORENCE;MICROFIBRA
78205151;78205151;VERDE PISTACCHIO;FLORENCE;MICROFIBRA
78205152;78205152;ROSSO CINA;FLORENCE;MICROFIBRA
78205154;78205154;ARANCIO CORALLO;FLORENCE;MICROFIBRA
78205155;78205155;GIALLO LIME;FLORENCE;MICROFIBRA
78205156;78205156;LILLA CHIARO;FLORENCE;MICROFIBRA
78206101;78206101;BEIGE;SENNA;MICROFIBRA
78206102;78206102;CAMMELLO;SENNA;MICROFIBRA
78206104;78206104;TORTORA  SCURO;SENNA;MICROFIBRA
78206106;78206106;ROSSO;SENNA;MICROFIBRA
78206110;78206110;ARANCIO;SENNA;MICROFIBRA
78206111;78206111;BEIGE;SENNA;MICROFIBRA
78206804;78206804;VERDE SCURO;JAZZ;TESSUTO
78206808;78206808;BLU DI PRUSSIA;JAZZ;TESSUTO
78207101;78207101;BEIGE;GOUFFRAGE;MICROFIBRA
78207102;78207102;CAMMELLO;GOUFFRAGE;MICROFIBRA
78207103;78207103;GIALLO;GOUFFRAGE;MICROFIBRA
78207104;78207104;TORTORA SCURO;GOUFFRAGE;MICROFIBRA
78207105;78207105;MARRONE;GOUFFRAGE;MICROFIBRA
78207106;78207106;ROSSO;GOUFFRAGE;MICROFIBRA
78207107;78207107;BORDEAUX;GOUFFRAGE;MICROFIBRA
78207108;78207108;NERO;GOUFFRAGE;MICROFIBRA
78207109;78207109;GRIGIO CALDO;GOUFFRAGE;MICROFIBRA
78207111;78207111;BLU NOTTE;GOUFFRAGE;MICROFIBRA
78209205;78209205;FC_BLUE;NABUCCO;TESSUTO
78209208;78209208;FC_BLACK;NABUCCO;TESSUTO
78212401;78212401;VERDE ACQUA;TICINO;MICROFIBRA
78212403;78212403;CAMOSCIO;TICINO;MICROFIBRA
78212404;78212404;BLU;TICINO;MICROFIBRA
78212601;78212601;AVION;COLTRANE;TESSUTO
78212602;78212602;NERO/BIANCO;COLTRANE;TESSUTO
78212603;78212603;NERO/MARRONE;COLTRANE;TESSUTO
78212604;78212604;ROSSO/GRIGIO;COLTRANE;TESSUTO
78212701;78212701;MARRONE;DAVIS;TESSUTO
78212702;78212702;BIANCO;DAVIS;TESSUTO
78212703;78212703;NERO;DAVIS;TESSUTO
78212704;78212704;ROSSO;DAVIS;TESSUTO
78212801;78212801;MARRONE;JARRETT;TESSUTO
78212802;78212802;NERO/BIANCO;JARRETT;TESSUTO
78212803;78212803;NERO/MARRONE;JARRETT;TESSUTO
78212804;78212804;ROSSO/GRIGIO;JARRETT;TESSUTO
78213101;78213101;BEIGE;SAHARA;TESSUTO
78213103;78213103;TORTORA;SAHARA;TESSUTO
78213105;78213105;MARRONE;SAHARA;TESSUTO
78213301;78213301;ZUCCA;PIRELLI;MICROFIBRA
78213304;78213304;CORDA;PIRELLI;MICROFIBRA
78213305;78213305;ZAFFERANO;PIRELLI;MICROFIBRA
78213307;78213307;ROSSO;PIRELLI;MICROFIBRA
78213308;78213308;TESTA DI MORO;PIRELLI;MICROFIBRA
78213701;78213701;ECRÙ;BRISTOL;TESSUTO
78213702;78213702;VERDE PISTACCHIO;BRISTOL;TESSUTO
78213703;78213703;ROSSO;BRISTOL;TESSUTO
78213704;78213704;NERO;BRISTOL;TESSUTO
78213705;78213705;MARRONE BRUCIATO;BRISTOL;TESSUTO
78213706;78213706;VIOLA;BRISTOL;TESSUTO
78213707;78213707;BLU COBALTO;BRISTOL;TESSUTO
78213708;78213708;GIALLO CANARINO;BRISTOL;TESSUTO
78213709;78213709;BLU OLTREMARE;BRISTOL;TESSUTO
78213710;78213710;GRIGIO FUMO;BRISTOL;TESSUTO
78213801;78213801;BEIGE;COMET;TESSUTO
78213802;78213802;ARANCIO;COMET;TESSUTO
78213803;78213803;LILLA;COMET;TESSUTO
78213804;78213804;BLU NOTTE;COMET;TESSUTO
78213901;78213901;BEIGE;SATURN;TESSUTO
78213902;78213902;ARANCIO;SATURN;TESSUTO
78213903;78213903;LILLA;SATURN;TESSUTO
78213904;78213904;BLU NOTTE;SATURN;TESSUTO
78213905;78213905;VERDE MELA;SATURN;TESSUTO
78213906;78213906;FUCSIA;SATURN;TESSUTO
78214201;78214201;MULTICOLOR VERDE;WALES;TESSUTO
78214202;78214202;MULTICOLOR ROSSO;WALES;TESSUTO
78214203;78214203;MULTICOLOR ARANCIO;WALES;TESSUTO
78214501;78214501;VERDE MULTICOLOR;MICROWALES;TESSUTO
78214502;78214502;ROSSO MULTICOLOR;MICROWALES;TESSUTO
78214503;78214503;ARANCIO MULTICOLOR;MICROWALES;TESSUTO
78214504;78214504;BLU MULTICOLOR;MICROWALES;TESSUTO
78214505;78214505;VIOLA MULTICOLOR;MICROWALES;TESSUTO
78214506;78214506;BLU MALVA MULTIC.;MICROWALES;TESSUTO
78214507;78214507;FUCSIA MULTICOLOR;MICROWALES;TESSUTO
78214601;78214601;BIANCO OTTICO;MIKONOS;TESSUTO
78214602;78214602;GRIGIO CHIARO;MIKONOS;TESSUTO
78214603;78214603;LIME SCURO;MIKONOS;TESSUTO
78214604;78214604;VIOLA;MIKONOS;TESSUTO
78214605;78214605;MAGENTA;MIKONOS;TESSUTO
78214606;78214606;TESTA DI MORO;MIKONOS;TESSUTO
78214607;78214607;ARANCIO;MIKONOS;TESSUTO
78214608;78214608;BLU OLTREMARE;MIKONOS;TESSUTO
78214801;78214801;NERO;CLUB;TESSUTO
78214802;78214802;BLU;CLUB;TESSUTO
78214803;78214803;VERDE BOSCO;CLUB;TESSUTO
78214804;78214804;LILLA;CLUB;TESSUTO
78214805;78214805;TURCHESE;CLUB;TESSUTO
78214806;78214806;CELESTE POLVERE;CLUB;TESSUTO
78214807;78214807;VERDE;CLUB;TESSUTO
78214901;78214901;BIANCO PANNA;BENTLEY;TESSUTO
78214902;78214902;GRIGIO PERLA;BENTLEY;TESSUTO
78214903;78214903;TORTORA;BENTLEY;TESSUTO
78214904;78214904;MARRONE;BENTLEY;TESSUTO
78214905;78214905;NERO;BENTLEY;TESSUTO
78215301;78215301;ROSSO MULTICOLOR;KENSINGTON;TESSUTO
78215601;78215601;VERDE POLVERE;HAMAM;TESSUTO
78215602;78215602;LILLA;HAMAM;TESSUTO
78215701;78215701;VERDE BOSCO;ALHAMBRA;TESSUTO
78215702;78215702;TURCHESE;ALHAMBRA;TESSUTO
78215703;78215703;GLICINE;ALHAMBRA;TESSUTO
78215704;78215704;GRIGIO SCURO;ALHAMBRA;TESSUTO
78215801;78215801;GRIGIO;WIKI;TESSUTO
78215802;78215802;TORTORA;WIKI;TESSUTO
78215901;78215901;ARANCIO;NET;TESSUTO
78215902;78215902;ARANCIO MELANGE;NET;TESSUTO
78215903;78215903;ROSSO;NET;TESSUTO
78215904;78215904;ROSSO MELANGE;NET;TESSUTO
78215905;78215905;TURCHESE;NET;TESSUTO
78215906;78215906;TURCHESE MELANGE;NET;TESSUTO
78215907;78215907;VERDE MELANGE;NET;TESSUTO
78215908;78215908;FANGO;NET;TESSUTO
78215909;78215909;GRIGIO;NET;TESSUTO
78215910;78215910;CORDA;NET;TESSUTO
78215911;78215911;VERDE;NET;TESSUTO
78215912;78215912;GRIGIO CHIARO;NET;TESSUTO
78215913;78215913;LEMON;NET;TESSUTO
78215914;78215914;CAFFE';NET;TESSUTO
78215915;78215915;BLU MARE;NET;TESSUTO
78216001;78216001;MULTICOLOR RED;BLOG;TESSUTO
78216002;78216002;MULTICOLOR TURCHES;BLOG;TESSUTO
78216003;78216003;MULTICOLOR VERDE;BLOG;TESSUTO
78216101;78216101;GRIGIO CH. FREDDO;LEVANTE;MICROFIBRA
78216102;78216102;GRIGIO MEDIO;LEVANTE;MICROFIBRA
78216106;78216106;TORTORA;LEVANTE;MICROFIBRA
78216107;78216107;BLU PROFONDO;LEVANTE;MICROFIBRA
78216108;78216108;FUNGO;LEVANTE;MICROFIBRA
78216201;78216201;BIANCO;DOT;TESSUTO
78216202;78216202;LEMON;DOT;TESSUTO
78216203;78216203;CAFFE';DOT;TESSUTO
78216204;78216204;GRIGIO;DOT;TESSUTO
78216301;78216301;BIANCO;Mediterraneo;TESSUTO
78216302;78216302;AVORIO;Mediterraneo;TESSUTO
78216303;78216303;CORDA;Mediterraneo;TESSUTO
78216304;78216304;ZUCCA;Mediterraneo;TESSUTO
78216305;78216305;ZENZERO;Mediterraneo;TESSUTO
78216306;78216306;MELAGRANA;Mediterraneo;TESSUTO
78216307;78216307;MARRONE BRUCIATO;Mediterraneo;TESSUTO
78216308;78216308;VINACCIA;Mediterraneo;TESSUTO
78216309;78216309;OTTANIO;Mediterraneo;TESSUTO
78216310;78216310;GRIGIO FERRO;Mediterraneo;TESSUTO
78216311;78216311;MIRTILLO;Mediterraneo;TESSUTO
78216312;78216312;BLU NOTTE;Mediterraneo;TESSUTO
78216401;78216401;FANGO;ROME;MICROFIBRA
78216402;78216402;BEIGE;ROME;MICROFIBRA
78216403;78216403;CIOCCOLATO;ROME;MICROFIBRA
78216404;78216404;BORDEAUX;ROME;MICROFIBRA
78216405;78216405;BRUCIATO CHIARO;ROME;MICROFIBRA
78216406;78216406;AVORIO;ROME;MICROFIBRA
78216407;78216407;BLU;ROME;MICROFIBRA
78217301;78217301;ALLUMINIO;PERSEO;TESSUTO
78217302;78217302;GIALLO;PERSEO;TESSUTO
78217303;78217303;ARAN MX MAT;PERSEO;TESSUTO
78217304;78217304;BLU NOTTE;PERSEO;TESSUTO
78217305;78217305;VIOLA;PERSEO;TESSUTO
78217306;78217306;MARRONE PROFONDO;PERSEO;TESSUTO
78217307;78217307;GRE SCMX VER;PERSEO;TESSUTO
78217501;78217501;BEIGE CH MX RS;BILANCIA;TESSUTO
78217502;78217502;GRIGIO CH FRED;BILANCIA;TESSUTO
78217503;78217503;TAUPE CALDO;BILANCIA;TESSUTO
78217504;78217504;BLUE JEANS;BILANCIA;TESSUTO
78217505;78217505;GRIGIO SC FRED;BILANCIA;TESSUTO
78217601;78217601;GRE CH MX BRO;GHIBLI;TESSUTO
78217602;78217602;GIALLO;GHIBLI;TESSUTO
78217603;78217603;VERDE MUSCHIO;GHIBLI;TESSUTO
78217604;78217604;GRIGIO MEDIO;GHIBLI;TESSUTO
78217605;78217605;ROSA MEDIO;GHIBLI;TESSUTO
78217606;78217606;ROSSO MX MATTONE;GHIBLI;TESSUTO
78217607;78217607;ROSSO;GHIBLI;TESSUTO
78217608;78217608;GRIG MX BLU;GHIBLI;TESSUTO
78217609;78217609;BLUE JEANS;GHIBLI;TESSUTO
78217610;78217610;BLUE SCURO;GHIBLI;TESSUTO
78217611;78217611;BEIGE CH.MX ROSA;GHIBLI;TESSUTO
78217612;78217612;BEIGE SCU.MX ROSA;GHIBLI;TESSUTO
78217613;78217613;GRIGIO SCURO;GHIBLI;TESSUTO
78217901;78217901;BIANCO FREDDO;CUPIDO;TESSUTO
78217902;78217902;VERDE MUSCHIO;CUPIDO;TESSUTO
78217903;78217903;BLU OTTANIO;CUPIDO;TESSUTO
78217904;78217904;ARANCIO MX MATTONE;CUPIDO;TESSUTO
78217905;78217905;BORDEAUX;CUPIDO;TESSUTO
78217906;78217906;BLU SCURO;CUPIDO;TESSUTO
78217907;78217907;MARRONE SC. FREDDO;CUPIDO;TESSUTO
78217908;78217908;GREIGE SC.MX GRIG.;CUPIDO;TESSUTO
78218001;78218001;BEIGE CH.MX GIALLA;AFRODITE;TESSUTO
78218002;78218002;VERDE MX GRIGIA;AFRODITE;TESSUTO
78218003;78218003;GRIGIO MEDIO;AFRODITE;TESSUTO
78218004;78218004;ROSA MEDIO;AFRODITE;TESSUTO
78218005;78218005;VERDE C.MX CELESTE;AFRODITE;TESSUTO
78218006;78218006;CUOIO C.MX ARANCIO;AFRODITE;TESSUTO
78218007;78218007;CELESTE;AFRODITE;TESSUTO
78218008;78218008;GREIGE S.MX GRIGIA;AFRODITE;TESSUTO
78218009;78218009;BLU JEANS;AFRODITE;TESSUTO
78218010;78218010;GRIGIO CH. CALDO;AFRODITE;TESSUTO
78218011;78218011;GREIGE MX GRIGIA;AFRODITE;TESSUTO
78218012;78218012;BEIGE SC.MX GIALLA;AFRODITE;TESSUTO
78218101;78218101;BIANCO CALDO;SFINGE;TESSUTO
78218102;78218102;YELLOWISH LIGHT BE;SFINGE;TESSUTO
78218103;78218103;GREIGE.SC MX ROSA;SFINGE;TESSUTO
78218104;78218104;ROSY DARK GREIGE;SFINGE;TESSUTO
78218105;78218105;ARANCIO MX MATTONE;SFINGE;TESSUTO
78218106;78218106;GREIGE CHIARO;SFINGE;TESSUTO
78218107;78218107;GRIGIO CH. FREDDO;SFINGE;TESSUTO
78218108;78218108;GRIGIO SC. FREDDO;SFINGE;TESSUTO
78218109;78218109;BLUE JEANS;SFINGE;TESSUTO
78218110;78218110;VERDE MUSCHIO;SFINGE;TESSUTO
78218201;78218201;GREY;PORTOVENERE;TESSUTO
78218202;78218202;NIGHT BLU;PORTOVENERE;TESSUTO
78218401;78218401;LILLA MX GRIGIA;THERMAE;TESSUTO
78218402;78218402;ROSA MEDIO;THERMAE;TESSUTO
78218403;78218403;TURCHESE;THERMAE;TESSUTO
78218404;78218404;VERDE MUSCHIO;THERMAE;TESSUTO
78218405;78218405;ARANCIO;THERMAE;TESSUTO
78218406;78218406;GIALLO MX OCRA;THERMAE;TESSUTO
78218407;78218407;GREIGE CH. MX ROSA;THERMAE;TESSUTO
78218408;78218408;GRIGIO CH. CALDO;THERMAE;TESSUTO
78218501;78218501;VERDE MX LIME;MARTE;TESSUTO
78218502;78218502;TURCHESE;MARTE;TESSUTO
78218503;78218503;LILLA MX GRIGIA;MARTE;TESSUTO
78218504;78218504;ARANCIO;MARTE;TESSUTO
78218505;78218505;GRIGIO CH.CALDO;MARTE;TESSUTO
78218506;78218506;BEIGE MEL. GRIGIO;MARTE;TESSUTO
78218507;78218507;BLU SCURO;MARTE;TESSUTO
78218901;78218901;BIANCO OTTICO;JUPITER;TESSUTO
78218902;78218902;BEIGE CH.MX ROSA;JUPITER;TESSUTO
